disease,protein,coefficient,pval,beta,nom_sig,fdr_sig,pval_fdr_corrected,bonf_sig,fdr_sig_permissive,pval_fdr_corrected_permissive
p131344,c5,0.3653141147761342,0.0297377177208949,0.301006273467858,1,0,0.4286408496026116,0,0,0.20424564241715817
p131344,ca4,0.0615903929073978,8.290708120028967e-10,0.0481823286690267,1,1,7.366365676040206e-08,1,1,9.387610379708488e-09
p131344,ca7,-0.2212582911773212,9.66447810668569e-10,-0.2489107207478429,1,1,8.390858601979178e-08,1,1,1.0184336315312465e-08
p131344,camsap1,-0.0547524170849844,0.0046832500169826,-0.0414366008543983,1,0,0.11766343256672335,0,1,0.0393959850131764
p131344,cant1,0.2948426342908712,5.666450642038965e-10,0.2257028943653193,1,1,5.5732260748447645e-08,1,1,9.387610379708488e-09
p131344,capn3,-0.0224845884017345,0.0048370275238533,-0.0249120558155062,1,0,0.12026003813586789,0,1,0.03992784071692037
p131344,casp4,-0.5256890839669857,2.745669247516957e-10,-0.466751611166491,1,1,3.0212769152639205e-08,1,1,9.387610379708488e-09
p131344,cblif,-0.4429045037756667,0.0427193815525203,-0.3711549106818154,1,0,0.5297289574078249,0,0,0.28276162075239625
p131344,ccdc134,-0.0431675610139245,0.0046587174848956,-0.0370496621554379,1,0,0.1172130676372291,0,1,0.0393959850131764
p131344,ccdc28a,0.1762267064295812,7.134742796566227e-10,0.1391348623289103,1,1,6.622017842330101e-08,1,1,9.387610379708488e-09
p131344,ccdc80,0.6010606659231523,0.0293895937180713,0.4710095566410104,1,0,0.42528624355171935,0,0,0.20280904033817995
p131344,ccl13,0.1175427875412053,7.745017960303358e-10,0.0887913888586252,1,1,7.002311962807676e-08,1,1,9.387610379708488e-09
p131344,ccl18,0.2944401068958844,9.748982732205036e-10,0.2540393330816435,1,1,8.445856364283869e-08,1,1,1.0236431868815288e-08
p131344,ccl25,0.2810867026163369,5.857340168446965e-10,0.2124056838578292,1,1,5.730467022028705e-08,1,1,9.387610379708488e-09
p131344,ccl26,0.1705411597215609,8.295361064725171e-10,0.1545296415384635,1,1,7.366400580641515e-08,1,1,9.387610379708488e-09
p131344,ccl27,0.5211481704657476,2.2196977589317157e-10,0.3986374752427608,1,1,2.4905695198863835e-08,1,1,9.387610379708488e-09
p131344,ccl28,0.1844942839581538,7.33184291057398e-10,0.1472814222018873,1,1,6.747197108454147e-08,1,1,9.387610379708488e-09
p131344,ccl3,0.2999747409048397,2.349499483855766e-10,0.2694086162918357,1,1,2.6196427031412768e-08,1,1,9.387610379708488e-09
p131344,ccl7,-0.4586297033723416,4.1617398416349255e-10,-0.3963285982663031,1,1,4.3008685554345656e-08,1,1,9.387610379708488e-09
p131344,ccn3,0.2382760564397709,7.622731335032993e-10,0.1887756158827034,1,1,6.930998853120972e-08,1,1,9.387610379708488e-09
p131344,ccnd2,-0.1495511754792557,8.783068716766707e-10,-0.1221907137236365,1,1,7.734962309225352e-08,1,1,9.551916665311852e-09
p131344,cd101,-0.2591885457100618,6.026634746802982e-10,-0.2374352550815147,1,1,5.8353101082371025e-08,1,1,9.387610379708488e-09
p131344,cd209,0.2449402998570375,6.076218417305768e-10,0.1725297430593541,1,1,5.865534544130141e-08,1,1,9.387610379708488e-09
p131344,cd300c,0.6560688883942718,0.0467029317133764,0.5007679906970818,1,0,0.5563449031147546,0,0,0.3063502419580803
p131344,cd34,0.2314637254715236,1.998338161612878e-10,0.1797419065901432,1,1,2.2722148089919457e-08,1,1,9.387610379708488e-09
p131344,cd70,-0.0688841385668123,7.85957077198418e-10,-0.051774563799737,1,1,7.076992789109419e-08,1,1,9.387610379708488e-09
p131344,cd83,0.3538911811971742,4.57866189407241e-10,0.2792626634120497,1,1,4.656382492465422e-08,1,1,9.387610379708488e-09
p131344,cd84,-0.2171197458411713,6.743368086148394e-10,-0.1623527950494767,1,1,6.325968657314238e-08,1,1,9.387610379708488e-09
p131344,cd86,0.5292831366693064,1.9994750299900943e-10,0.4211914080365456,1,1,2.2722148089919457e-08,1,1,9.387610379708488e-09
