coefficient,pvalue,var_explained,covar,disease_field
10.934403187564106,3.327935068624412e-24,-1,PC3,p131086
4.225993476976442,1.5355763360098898e-07,-1,PC4,p131086
-5.842749391482228,7.230649019833184e-08,-1,PC5,p131086
2.517959480409797,0.0023964154694848,-1,PC6,p131086
-3.862535166502132,0.0007709054352757674,-1,PC7,p131086
4.14120966559958,6.141669558523117e-06,-1,PC8,p131086
4.360914118566261,7.088097314048512e-06,-1,PC9,p131086
4.4119476264506,1.5026285523789065e-06,-1,PC10,p131086
4.745716190475956,1.5263629410549668e-06,-1,PC11,p131086
3.666575651081757,0.0007052144697277776,-1,PC12,p131086
7.439517489806824,3.695925440333711e-08,-1,PC13,p131086
8.242433091609005,1.8123141550800913e-12,-1,PC14,p131086
7.236264029025168,1.4154020349382696e-07,-1,PC15,p131086
6.7545578616651625,6.381348611546085e-07,-1,PC16,p131086
-8.640228346997949,8.102569518859415e-10,-1,PC17,p131086
4.293545585885939,0.0134145093513462,-1,PC18,p131086
8.346667385735325,2.7302913671494764e-14,-1,PC19,p131086
-3.3542709258668397,0.1276540875339073,-1,PC20,p131086
4.958634228424763,0.00047047143418005934,-1,PC21,p131086
4.389425124075411,0.0005603001617078517,-1,PC22,p131086
-3.3316145925953102,0.2381194895096706,-1,PC23,p131086
8.316076251576831,2.6396430119540564e-06,-1,PC24,p131086
-4.617353179678514,0.0830740505824301,-1,PC25,p131086
-0.7173355254173441,0.915579992120339,-1,PC26,p131086
11732.756256166702,0.999077639599682,-1,PC1,p131126
9.77879248829263,5.6075698969344755e-14,-1,PC2,p131126
5.976615480512219,1.3684319657948804e-09,-1,PC3,p131126
6.580375009857511,1.673503980047273e-08,-1,PC4,p131126
-3.72861291241288,1.82773124006292e-05,-1,PC5,p131126
4.594543543092792,4.518383067114189e-05,-1,PC6,p131126
5.099004953190999,0.0294744877700965,-1,PC7,p131126
-11.840965456762303,4.3482098099898483e-13,-1,PC8,p131126
2.8653934210310616,0.0740476680454593,-1,PC9,p131126
9.12834013871445,1.8849261292569745e-08,-1,PC10,p131126
-10.560741580711673,7.264740810487136e-08,-1,PC11,p131126
7.755621548728247,2.4782987221018677e-09,-1,PC12,p131126
7.805527561303693,5.2864800942993846e-08,-1,PC13,p131126
-8.522110598931846,0.0014574365418673,-1,PC14,p131126
15.064174309371024,0.0001992990187285996,-1,PC15,p131126
10.077041656214416,1.3064141851383742e-10,-1,PC16,p131126
9.88989847712594,1.9327967353114117e-13,-1,PC17,p131126
9.915171930974086,5.994223433045062e-07,-1,PC18,p131126
-8.120617131567716,0.0117477775083775,-1,PC19,p131126
6.202134472100652,0.0084634872829485,-1,PC20,p131126
9.98085588518259,9.014619145224048e-06,-1,PC21,p131126
5.079525837388746,0.0251256448399685,-1,PC22,p131126
6.811760623621944,0.0003993447618988893,-1,PC23,p131126
