coefficient,pvalue,var_explained,covar,disease_field
0.1059386434079948,5.30137203528057e-28,-1,age,p131056
0.6161517850563022,1.5590271875715457e-07,-1,sex,p131056
21.17961875233008,0.9996493658380396,-1,date_centre,p131056
1.4324125130115193,0.0199298576109222,-1,centre,p131056
1.3518081850487906,0.2329675409977337,-1,plate,p131056
1.4457713477583145,0.0686208439289563,-1,well,p131056
-0.208505094618619,0.3772991415441951,-1,plate_row,p131056
0.4709844712351514,0.0910465961358248,-1,plate_column,p131056
-2.070833167143239,0.091639924950184,-1,mean_date_processing,p131056
-0.0003403532035385766,0.0741411427558774,-1,storage_time,p131056
-0.5938289545381941,0.0430945912590811,-1,batch,p131056
0.0560085515328182,0.00010970217257808972,-1,age,p131086
0.6963136405947015,0.0009374692632369572,-1,sex,p131086
21.36902580730729,0.9997854458069024,-1,date_centre,p131086
-2.2361680235031227,0.0413764976718188,-1,centre,p131086
20.52154095420549,0.99843070520931,-1,plate,p131086
18.240612385221063,0.9940903385157234,-1,well,p131086
0.400726885550023,0.3269952489385463,-1,plate_row,p131086
1.082298713168882,0.0363218672507237,-1,plate_column,p131086
19.5215459413062,0.9957004152860472,-1,mean_date_processing,p131086
0.0002477076826430035,0.4638178162432657,-1,storage_time,p131086
-0.4146470919220228,0.4689788256904879,-1,batch,p131086
0.0353708229921543,0.1045004275170966,-1,age,p131126
0.4859879754788925,0.1392739962013022,-1,sex,p131126
49.13187258717749,0.9997884140561824,-1,date_centre,p131126
2.925114706340004,0.0186710939558352,-1,centre,p131126
21.270227909862264,0.999013449577561,-1,plate,p131126
1.0651471323735675,0.3572236109690573,-1,well,p131126
-0.9285492534998152,0.2672281357066806,-1,plate_row,p131126
-1.630271911444396,0.1367287284196093,-1,plate_column,p131126
18.821136352130637,0.9974857277897338,-1,mean_date_processing,p131126
0.0001764633241545697,0.7435313541080193,-1,storage_time,p131126
-1.525126407143998,0.03692239649267,-1,batch,p131126
0.1251977677734946,2.315244094118438e-20,-1,age,p131164
-0.0690958011273209,0.6470790147518783,-1,sex,p131164
21.87295622165534,0.9996379061449768,-1,date_centre,p131164
-1.9882524597017397,0.001545345835101,-1,centre,p131164
19.347195718364382,0.9975607339307964,-1,plate,p131164
16.57180741013025,0.9854062375319576,-1,well,p131164
0.6554751987395688,0.0285394685743436,-1,plate_row,p131164
0.528820801569138,0.1168947763054537,-1,plate_column,p131164
-1.948356134783594,0.1125247451807558,-1,mean_date_processing,p131164
-0.00015098825075494406,0.5439035573759308,-1,storage_time,p131164
-0.3687433798333827,0.3610581676008532,-1,batch,p131164
0.1203846494338702,1.1439253908820384e-80,-1,age,p131166
-0.0373402402167091,0.6038759239328775,-1,sex,p131166
